title,company,location,salary,date_posted,job_link,source
Language Instructor - Chinese Mandarin,Cherokee Federal,"Wahiawa, HI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/language-instructor-chinese-mandarin-at-cherokee-federal-4289410785?position=1&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=s2zzJU4u17l3zuG1YjRjEw%3D%3D,LinkedIn
Mandarin Chinese Language Teacher needed - ID1065030,Language Trainers,"Boston, MA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-language-teacher-needed-id1065030-at-language-trainers-4289295223?position=2&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=xmvdLbrGRDtgL6A%2BUveZeg%3D%3D,LinkedIn
Foreign Language Instructor-Chinese Mandarin,Chi-Chack LLC,"Tacoma, WA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/foreign-language-instructor-chinese-mandarin-at-chi-chack-llc-4290405566?position=3&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=IG9GcjIOBIMP3DvxGcSThw%3D%3D,LinkedIn
Chinese Language Teacher,Renaissance Academy,"Lehi, UT",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-teacher-at-renaissance-academy-4290086906?position=5&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=RA2DWvm5TQXerj9I%2B06N4w%3D%3D,LinkedIn
Mandarin Chinese Teacher (Middle School),International Leadership of Texas,"Lancaster, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-middle-school-at-international-leadership-of-texas-4271325629?position=6&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=if2ioF8k%2BXxim9L9OPFJSg%3D%3D,LinkedIn
Chinese Teacher,Compunnel Inc.,"Hemlock, MI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-teacher-at-compunnel-inc-4288450192?position=7&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=Ox2JGak6LG0wS1ocbFyOsA%3D%3D,LinkedIn
Mandarin Chinese Teacher (Middle School),International Leadership of Texas,"Cleveland, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-middle-school-at-international-leadership-of-texas-4288227968?position=9&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=o663uHDWrdFnDrhZHYTPnw%3D%3D,LinkedIn
"Part-Time Language Teachers (Chinese)
Job ID : 244027",Urban Resilience Hub by UN-Habitat's CRGP,"New York, United States",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/part-time-language-teachers-chinese-%0Ajob-id-244027-at-urban-resilience-hub-by-un-habitat-s-crgp-4287746740?position=10&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=aMVdVBXjZavpufGz59vTkg%3D%3D,LinkedIn
Language teacher - Business Chinese | ID1063412,Language Trainers,"St Louis, MO",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/language-teacher-business-chinese-id1063412-at-language-trainers-4288734277?position=11&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=26KW6hRJPWOyH%2FiWXwWo7g%3D%3D,LinkedIn
Mandarin Chinese Teacher (Middle School),International Leadership of Texas,"Fort Worth, TX",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-chinese-teacher-middle-school-at-international-leadership-of-texas-4287559379?position=12&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=%2Fh8uRFDecfeHFzYOXD3YyQ%3D%3D,LinkedIn
Foreign Language Instructor (Chinese) Pool-Part-Time,Inside Higher Ed,"Anaheim, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/foreign-language-instructor-chinese-pool-part-time-at-inside-higher-ed-4289366528?position=22&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=mvfE69%2BLlAqeGW84jX6PsA%3D%3D,LinkedIn
Mandarin Teacher,"Chaminade College Preparatory, CA","Val Verde, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-chaminade-college-preparatory-ca-4287749405?position=28&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=0MTt2LulWLOsYTzzHm%2Fn6w%3D%3D,LinkedIn
Assistant Chinese Preschool Teacher,Purple Magpie Mandarin,"Culver City, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/assistant-chinese-preschool-teacher-at-purple-magpie-mandarin-4290412641?position=33&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=099hGzbGDYbgiFPojTLbjA%3D%3D,LinkedIn
Teacher - Chinese (OE) Stipend Position,Community Unit School District 308,"Oswego, IL",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/teacher-chinese-oe-stipend-position-at-community-unit-school-district-308-4288606097?position=40&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=hzn5b2Ogkl1rNseMi89d9Q%3D%3D,LinkedIn
Bilingual (Mandarin) Mathematics (Grades 7-12) Teacher,NYC Public Schools,"Brooklyn, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/bilingual-mandarin-mathematics-grades-7-12-teacher-at-nyc-public-schools-4288250051?position=41&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=C7eQ2aWkHjYC8QZ2uoWklQ%3D%3D,LinkedIn
Elementary Chinese Immersion Teacher,St. Cloud Area School District 742,"Waite Park, MN",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/elementary-chinese-immersion-teacher-at-st-cloud-area-school-district-742-4285023765?position=42&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=guHXkI0Tu47tHnrkgn2pzQ%3D%3D,LinkedIn
Bilingual (Mandarin) Music Teacher,NYC Public Schools,"Brooklyn, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/bilingual-mandarin-music-teacher-at-nyc-public-schools-4288243337?position=50&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=MluB3gfkcWuWFzGTYPWlew%3D%3D,LinkedIn
Mandarin Assistant Teacher-  Early Childhood Education Center,CommuniKids Preschool and Children's Language Center,"Falls Church, VA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-assistant-teacher-early-childhood-education-center-at-communikids-preschool-and-children-s-language-center-4289105274?position=51&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=wXAGPPIn4Wyzxrs3%2BebGcg%3D%3D,LinkedIn
Middle School/High School Mandarin Teacher (Part-Time),The Dalton School,"New York, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/middle-school-high-school-mandarin-teacher-part-time-at-the-dalton-school-4272449273?position=57&pageNum=0&refId=2DCGSB4PPDGw8oVuAtXztQ%3D%3D&trackingId=bW8D2fLx010jZCx2EOuO6Q%3D%3D,LinkedIn
